,name,rating,address,phone
68,Drivekool Driving School & RTO Services Head Office Marathahalli,4.4,"Shop No: 5, Spice Garden, 35/1B, Marathahalli Bridge Service Rd, near Puravankara Apartment, Lakshminarayana Pura, Munnekollal, Bengaluru, Karnataka 560037",096069 29794
69,Srivari Motor Driving Training School,4.4,"#1 , 4th cross, Kalkere Main Road, Ramamurthy Nagar, Bengaluru, Karnataka 560016",nan
70,First Drive Motor Driving School,4.4,"Building No 61, South End Road, Basavanagudi, near Nagasandra Circle, Bengaluru, Karnataka 560004",099002 09393
71,Excellent Driving School,4.8,"01 Andalamma Mansion, post, near Siddhartha Public School, Manjunatha Layout, RT Nagar, Bengaluru, Karnataka 560032",090195 19441
72,Mani Motor Driving Training School,4.2,"16/1, 2nd Cross Rd, Srinivas Colony, Sudhama Nagar, Bengaluru, Karnataka 560027",nan
73,Priya Motor Driving Training School,4.6,"No 290/22 Ex-Chairman Colony, Opp to Srinidhi Upachar Hotel, Banaswadi main, road, Near Banaswadi Fire Station, Bengaluru, Karnataka 560043",090366 66833
74,Sri Maruthi Driving school,4.9,"5 Ambedkar opp to NEW WIPRO SEZ ,NPS SCHOOL ROAD Sarjapur Road, flyover, next to Decathlon, opp. wipro sez, Bengaluru, Karnataka 560035",082968 05769
75,Bali Ladies Driving School,4.8,"police station, #3582, VHBCS layout, Prasad. Bhavan, near Girinagar, 4th Phase Girinagar, Bengaluru, Karnataka 560085",091082 86887
76,Shiva motor driving training school,4.5,"No, 88, Nehru Rd, St Thomas Town, Kacharakanahalli, Bengaluru, Karnataka 560084",077956 66280
77,Planet-21 Driving School,4.5,"3293, 1st floor, Water Tank Rd, Kathreguppe, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085",099807 73707
78,SURYA DRIVING SCHOOL,5.0,"39-42, 17th Main Rd, New Timberyard Layout, Telecom Colony, Srinagar, Banashankari, Bengaluru, Karnataka 560026",073497 71173
79,Sarathi Driving School,4.9,"#163/3, 16th Main, 27th Main Rd, opp. to BNM College, Banashankari Stage II, Bengaluru, Karnataka 560070",098453 51143
80,Asgar Driving School,5.0,"Venkateswara Temple, 7th Cross, Road, ITI Layout, Bengaluru, Karnataka 560102",nan
81,Jai Maruthi Driving School,4.2,"59/1, 11th Cross Rd, Swimming Pool Extension, HN Layout, Malleshwaram, Bengaluru, Karnataka 560003",098443 49887
82,Prathibha Driving School,4.4,"34, Kaggadasapura Main Rd, opp. Abbaiah Reddy Layout, Kondappa Layout, Balaji Layout, C V Raman Nagar, Bengaluru, Karnataka 560093",098863 29600
83,Lavina Two Wheeler Driving School,4.9,"332, 14th Cross Rd, 2nd Block, RT Nagar, Bengaluru, Karnataka 560032",081050 58236
