,name,rating,address,phone
56,"Driver Training Institute, Burari",4.2,"P5MV+883, Tomur Colony, Mukundpur, Delhi, 110084",nan
57,EAGLE Motor Training School,4.9,"Kirari Express Whay Near Rashan Dafter Suleman Nagar, Delhi, 110086",087663 83951
58,Soni Motor Driving training School,4.7,"2348 , Main bazaar Ghanta Ghar, in front of Jungali Mal dharmshala, Delhi 110007",087507 46613
59,East Delhi Motors Driving School,4.6,"Shop no 4, Satyam enclave, DDA, LIG Flats, Jhilmil, Block E, Jhilmil Colony, Delhi, 110095",081710 30305
60,Style Car scooty Driving school,5.0,"4546/16, ground floor, Ansari Rd, near saraswati school, Daryaganj, New Delhi, Delhi 110002",098911 82990
61,PRM Car Driving School,5.0,"39/75, Savitri Nagar, Savitri Nagar Village, Malviya Nagar, New Delhi, Delhi 110017",099116 21213
62,Yash Sharma Motor Driving School,4.4,"289/2, Shakur Basti Railway Colony, Rani Bagh, Shakur Basti, New Delhi, Delhi 110034",095822 42733
63,Hello ROHINI Motor Driving School? Taxi Service,4.8,"301, Vijay vihar Phase I, Phase 1, Pocket J, Sector 4, Rohini, Delhi, 110085",087002 82892
64,Saroj Motor Car Driving School,4.9,"D 17/262, Rohini sector 3, Nearest Agrasen bhawan, 85, Rohini, Delhi, 110085",nan
65,Learn on automatic car driving school south delhi,5.0,"shop no -208A-2, 2, Savitri Nagar Rd, Malviya Nagar, New Delhi, Delhi 110017",070278 95555
66,HELLO YADAV MOTOR DRIVING SCHOOL,4.8,"Rice Mill, 30, nearby retailer, Vijay vihar Phase I, Vijay Vihar, Sector 4, Rohini, Delhi, 110085",099584 69680
67,New perfect Driving Training School Dwarka,4.9,"H2FJ+H27, Plot no.- 23A D-block qutub vihar ph -1, near opg school, dwarka sec 19B, New Delhi, Delhi 110071",098185 03354
68,Independent Driving School for two wheeler,4.4,"Sector 6, Pushp Vihar, New Delhi, Delhi 110017",097166 58788
69,Sai Motor Driving School,4.9,"Jharera Village, Delhi Cantonment, New Delhi, Delhi 110010",nan
70,Krishna Motor Driving School,4.9,business.site,nan
71,K.P. MOTORS DRIVING SCHOOL,5.0,"26/109, Patel Chowk, C.P, Connaught Place, New Delhi, Delhi 110001",nan
72,Safe Motor Driving School,4.7,"Gali no 6 bagdola Sector-8 Dwarka, New Delhi, 77, Raj Nagar, Delhi, 110077",098680 13420
73,Sangam motors driving training school,5.0,"Vardhaman Mall, Sector 23, Dwarka, New Delhi, Delhi 110077",088607 04600
74,ANKUSH TWO WHEELER DRIVING SCHOOL,5.0,"Q-10 PREM NAGAR EXTENSION KIRARI SULEMAN NAGAR, Nangloi, Delhi, 110086",nan
75,Mr. Car Driving School,4.6,"F-1/496, Shani Bazar Rd, Block E 7, Sultanpuri, New Delhi, Delhi 110086",098107 10330
76,ANKUSH TWO WHEELER TRAINING SCHOOL,4.9,"Q-10, Block, Prem Nagar II, Kirari Suleman Nagar, Delhi, 110086",nan
77,"Ashok Leyland's Society For Driver Training Institute, Burari",4.2,"Main Burari Bypass, Near Gate No 3, Transport Authority Complex, Burari, Tomur Colony, Mukundpur, New Delhi, Delhi 110084",088602 00331
78,Drive The Motor Driving School,4.8,"WZ-55/56, Old Mehrauli Road, Raj Nagar, Part-2, Palam Colony, Palam, Delhi, 110077",080114 92825
79,Dinesh Driving School,4.6,"Saint Nagar Delhi, Rani Bagh, Pitam Pura, Delhi, 110034",nan
80,IDTR Delhi,4.5,"Institute of Driving and Traffic Research, Transport, department complex, Wazirabad Rd, Block D, East Gokalpur, Gokalpur, Delhi, 110094",nan
81,New Shine Star Motor Driving School,3.4,"Shop No 11, New Market, West Patel Nagar, West Patel Nagar, New Delhi, Delhi 110008",093122 62470
82,Jai Janta Motor Driving Training School.,4.7,"6, Mandawali Main Rd, Laxmi Nagar, Block S1, Nanakpura, Shakarpur, New Delhi, Delhi 110092",nan
83,India Motor Driving Training College,4.0,"R-54, Main, Vikas Marg, opposite Metro Pillar Number 45, opposite Hira sweets, Shakarpur, New Delhi, Delhi 110092",098101 06328
84,Tiwari motors driving school,5.0,"RK ASHRAM METRO STATION DELHI Lady Harding Delhi, Paharganj, Delhi, 110001",nan
85,Raju Motor Driving training School,5.0,"Rz37 D-block, Gali no -2 Sitapuri Dabri flyover, New Delhi, Delhi 110046",098912 13001
86,Malhotra Motor Driving School,3.4,"G-102, Block G, Ramesh Nagar, New Delhi, Delhi 110015",080769 11751
87,HotWheels Driving School,4.7,"Street No. 61, Dayal Park, Block RZ, Sagar Pur, New Delhi, Delhi 110046",nan
88,Pradeep Car Driving Training School Adarsh Nagar,4.8,"B-82, Gali Number 1, near Labour Chowk, A Block, Majlis Park, Adarsh Nagar, Delhi, 110033",099904 19340
89,Anshu Motor Driving School,4.7,"A-1/1,Gulab Bagh(near Nawada Metro Gate No. 2,pillar no. 728, Najafgarh Rd, Nawada, New Delhi, 110059",095822 46442
90,Raman Motor Driving Training School,3.6,"Block C, Acharya Niketan, Mayur Vihar, New Delhi, Delhi 110091",nan
91,Sonu Two-wheeler driving school,4.9,"D11, Vishwas Park Extn, Raja Puri, Dwarka, Delhi, 110059",nan
92,SANJEEV DRIVING SCHOOL,5.0,"C-20/5, Shahbad Dairy, Prahladpur, Rohini, Delhi, 110042",nan
93,Car Driving School Rohini sec-23,5.0,"990E DTC Bus Stand Rohini Sector - 23 Pocket 1, New Delhi, Delhi 110086",081788 25242
94,Raj Motor Driving Training School,3.0,"Shop No-136, Pocket G-1, Near Kapoor Jewellers, Hanuman Mandir Road, Sector 16, Rohini, Delhi, 110089",098996 26341
95,Motor driving school - Vehicle Insurance,5.0,"H. No 15, near, flyover, Nangal, Dabri Extension East, Dabri, New Delhi, Delhi 110045",nan
96,Kapoor Motor driving school,4.4,"P-13 Friday Market, Dr Bhim Rao Ambedkar Marg, Malka Ganj, New Delhi, Delhi 110007",075030 20683
