,name,rating,address,phone
67,Classic Motor Training School,4.5,"C1/22, Bramha Estate, Near Jyoti Hotel, NIBM Road,, Kondhwa,, Pune, Maharashtra 411048",095958 61601
68,Mukund -The Driving School Instructor,5.0,"Flora, D-20, Aditya Garden City, Warje, Pune, Maharashtra 411058",098604 89036
69,Jagdish Motor Driving School Warje,5.0,"Raghunandan Plaza, Sobhapuram society, Warje, Pune, Maharashtra 411058",096044 04142
70,Sonhira Motor Driving School Katraj,4.6,"Shop No 7 Payal Apartment, Near Cosmos Bank, Bhararti Vidyapeeth, Dattanagar Rd, Katraj, Pune, Maharashtra 411046",090967 68607
71,Baheti Motor Driving School,4.8,"Office No.102 Gulab Pavillion Sr. No. 657, Shivaji Nagar, Deccan Gymkhana, Pune, Maharashtra 411004",098900 85383
72,Trishul Motor Driving School,4.1,"Shop No:4, Shirine Garden, Aundh, Pune, Maharashtra 411007",098509 95617
73,GREENCITY MOTOR DRIVING SCHOOL,5.0,"Laxmi sadan, Lee Showroom building, Jangali Maharaj Rd, in front of Sai Service Petrol Pump, Deccan Gymkhana, Pune, Maharashtra 411004",074475 59955
74,SHIVANI MOTOR DRIVING SCHOOL,4.7,"L- square bullding, Porwal Rd, Lohegaon, Pune, Maharashtra 411047",098238 83829
75,Rakesh Private Car Driving Instructor,4.9,"Bibwewadi Kondhwa Rd, Phase 1, Ganga Dham, Pune, Maharashtra 411037",073872 00011
76,NEW BHARATIS DRIVING SCHOOL,4.9,"Shop no 3 DSK vishw road Savitri Audumber A wing building, Dhayari, Pune, Maharashtra 411041",097622 22203
77,Ganesh motor driving school,4.9,"A18, Dhanori-Lohegaon Rd, Madhav Nagar, Dhanori, Pune, Maharashtra 411015",nan
78,Vishwa motor driving school,4.9,"Garmal, Dhayari Phata, Pune, Maharashtra 411041",097668 62954
79,Kale Motor School,4.0,"MANGALMURTI COMPLEX, 117/A/2, Sinhgad Rd, near Old Big Bazar, Dattawadi, Pune, Maharashtra 411030",098225 69078
